Var1,Var2
1,left caudal anterior cingulate 
2,left caudal middle frontal 
3,left cuneus 
4,left entorhinal 
5,left fusiform 
6,left inferior parietal 
7,left inferior temporal 
8,left isthmus cingulate 
9,left lateral occipital 
10,left lateral orbitofrontal 
11,left lingual 
12,left medial orbitofrontal 
13,left middle temporal 
14,left parahippocampal 
15,left paracentral 
16,left pars opercularis 
17,left pars orbitalis 
18,left pars triangularis 
19,left pericalcarine 
20,left postcentral 
21,left posterior cingulate 
22,left precentral 
23,left precuneus 
24,left rostral anterior cingulate 
25,left rostral middle frontal 
26,left superior frontal 
27,left superior parietal 
28,left superior temporal 
29,left supramarginal 
30,left transverse temporal 
31,left insula 
32,left thalamus
33,left nucleus accumbens
34,left caudate
35,left putamen
36,left amygdala
37,left hippocampus
38,right hippocampus
39,right amygdala
40,right putamen
41,right caudate
42,right nucleus accumbens
43,right thalamus
44,right insula 
45,right transverse temporal 
46,right supramarginal 
47,right superior temporal 
48,right superior parietal 
49,right superior frontal 
50,right rostral middle frontal 
51,right rostral anterior cingulate 
52,right precuneus 
53,right precentral 
54,right posterior cingulate 
55,right postcentral 
56,right pericalcarine 
57,right pars triangularis 
58,right pars orbitalis 
59,right pars opercularis 
60,right paracentral 
61,right parahippocampal 
62,right middle temporal 
63,right medial orbitofrontal 
64,right lingual 
65,right lateral orbitofrontal 
66,right lateral occipital 
67,right isthmus cingulate 
68,right inferior temporal 
69,right inferior parietal 
70,right fusiform 
71,right entorhinal 
72,right cuneus 
73,right caudal middle frontal 
74,right caudal anterior cingulate 
