subject,area,group
1,36,AgCC
1,37,AgCC
1,38,AgCC
1,43,AgCC
1,44,AgCC
1,45,AgCC
2,38,AgCC
2,43,AgCC
3,38,AgCC
3,43,AgCC
4,43,AgCC
5,38,AgCC
6,36,AgCC
6,37,AgCC
6,38,AgCC
6,43,AgCC
6,45,AgCC
7,38,AgCC
7,43,AgCC
7,45,AgCC
8,38,AgCC
8,43,AgCC
9,3,AgCC
9,11,AgCC
9,14,AgCC
9,17,AgCC
9,19,AgCC
9,37,AgCC
9,38,AgCC
9,40,AgCC
9,41,AgCC
9,42,AgCC
9,43,AgCC
9,45,AgCC
9,48,AgCC
9,49,AgCC
9,62,AgCC
9,78,AgCC
10,36,AgCC
10,38,AgCC
10,43,AgCC
10,45,AgCC
11,38,AgCC
11,43,AgCC
12,38,AgCC
12,43,AgCC
12,54,AgCC
12,62,AgCC
12,72,AgCC
12,78,AgCC
13,37,AgCC
13,38,AgCC
13,43,AgCC
14,38,AgCC
14,43,AgCC
14,45,AgCC
15,36,AgCC
15,38,AgCC
15,43,AgCC
15,45,AgCC
16,36,AgCC
16,38,AgCC
16,43,AgCC
16,45,AgCC
17,37,Control
17,38,Control
17,43,Control
17,45,Control
18,38,Control
18,43,Control
18,45,Control
19,38,Control
19,43,Control
20,38,Control
20,43,Control
21,37,Control
21,38,Control
21,43,Control
21,45,Control
22,38,Control
22,43,Control
22,45,Control
23,38,Control
23,43,Control
24,38,Control
24,43,Control
24,44,Control
25,38,Control
25,43,Control
26,38,Control
26,43,Control
27,38,Control
27,43,Control
27,44,Control
27,45,Control
28,37,Control
28,38,Control
28,43,Control
29,37,Control
29,38,Control
29,43,Control
29,44,Control
29,45,Control
30,38,Control
30,43,Control
31,37,Control
31,38,Control
31,43,Control
31,44,Control
31,45,Control
32,38,Control
33,38,Control
33,43,Control
33,44,Control
33,45,Control
34,37,Control
34,38,Control
34,43,Control
34,44,Control
35,38,Control
35,43,Control
36,37,Control
36,38,Control
36,43,Control
36,44,Control
36,45,Control
37,36,Control
37,38,Control
37,43,Control
38,37,Control
38,38,Control
38,43,Control
38,45,Control
39,38,Control
39,43,Control
39,45,Control
40,37,Control
40,38,Control
40,43,Control
40,45,Control
41,37,Control
41,38,Control
41,43,Control
41,44,Control
42,36,Control
42,37,Control
42,38,Control
42,43,Control
42,44,Control
42,45,Control
43,37,Control
43,38,Control
43,43,Control
44,38,Control
44,43,Control
