subject,area,group
2,638,AgCC
3,38,AgCC
3,137,AgCC
3,543,AgCC
4,38,AgCC
4,41,AgCC
4,442,AgCC
6,38,AgCC
6,41,AgCC
6,442,AgCC
6,446,AgCC
7,42,AgCC
7,442,AgCC
8,38,AgCC
8,42,AgCC
8,45,AgCC
8,125,AgCC
8,227,AgCC
8,379,AgCC
8,400,AgCC
8,442,AgCC
8,446,AgCC
8,458,AgCC
8,532,AgCC
8,543,AgCC
8,812,AgCC
9,42,AgCC
10,125,AgCC
10,602,AgCC
10,732,AgCC
10,735,AgCC
12,38,AgCC
12,41,AgCC
12,45,AgCC
12,57,AgCC
12,543,AgCC
12,804,AgCC
12,812,AgCC
13,38,AgCC
13,384,AgCC
13,442,AgCC
13,446,AgCC
13,451,AgCC
13,458,AgCC
13,564,AgCC
13,804,AgCC
14,301,Control
15,812,Control
24,812,Control
27,301,Control
32,379,Control
35,638,Control
39,812,Control
